ranking_date,ranking,player,points
2014-12-29,123,104547,455.0
2014-12-29,124,104499,450.0
2014-12-29,125,105487,443.0
2014-12-29,126,105613,443.0
2014-12-29,127,105902,430.0
2014-12-29,128,103582,427.0
2014-12-29,129,104873,421.0
2014-12-29,130,105539,421.0
2014-12-29,131,105216,420.0
2014-12-29,132,105671,416.0
2014-12-29,133,106298,408.0
2014-12-29,134,103565,407.0
2014-12-29,135,104629,397.0
2014-12-29,136,100644,389.0
2014-12-29,137,105223,385.0
2014-12-29,138,104500,381.0
2014-12-29,139,104330,381.0
2014-12-29,140,106186,381.0
2014-12-29,141,104897,378.0
2014-12-29,142,106032,377.0
2014-12-29,143,105011,375.0
2014-12-29,144,105217,375.0
2014-12-29,145,105379,370.0
2014-12-29,146,105655,366.0
2014-12-29,147,104252,365.0
2014-12-29,148,105614,365.0
2014-12-29,149,104433,362.0
2014-12-29,150,106423,353.0
2014-12-29,151,104563,353.0
2014-12-29,152,105572,350.0
2014-12-29,153,106243,336.0
2014-12-29,154,104672,335.0
2014-12-29,155,105550,333.0
2014-12-29,156,105357,328.0
2014-12-29,157,104494,327.0
2014-12-29,158,103188,325.0
2014-12-29,159,106065,324.0
2014-12-29,160,104327,317.0
2014-12-29,161,105916,317.0
2014-12-29,162,105589,316.0
2014-12-29,163,103808,314.0
2014-12-29,164,106291,313.0
2014-12-29,165,104007,313.0
2014-12-29,166,106415,310.0
2014-12-29,167,106148,307.0
2014-12-29,168,105430,306.0
2014-12-29,169,105302,303.0
2014-12-29,170,103997,302.0
2014-12-29,171,104639,300.0
2014-12-29,172,105657,299.0
2014-12-29,173,111202,299.0
2014-12-29,174,104308,298.0
2014-12-29,175,104920,297.0
2014-12-29,176,105074,295.0
2014-12-29,177,106121,293.0
2014-12-29,178,105932,293.0
2014-12-29,179,105413,288.0
2014-12-29,180,106293,283.0
2014-12-29,181,105063,281.0
2014-12-29,182,104864,279.0
2014-12-29,183,105070,279.0
2014-12-29,184,104714,276.0
2014-12-29,185,105585,271.0
2014-12-29,186,105166,270.0
2014-12-29,187,105047,268.0
2014-12-29,188,105819,268.0
2014-12-29,189,105132,264.0
2014-12-29,190,104970,262.0
2014-12-29,191,105992,261.0
2014-12-29,192,105783,261.0
2014-12-29,193,105672,260.0
2014-12-29,194,106378,260.0
2014-12-29,195,104619,257.0
2014-12-29,196,106281,254.0
2014-12-29,197,105080,248.0
2014-12-29,198,105882,247.0
2014-12-29,199,103401,244.0
2014-12-29,200,104945,244.0
2024-05-27,1,104925,9960.0
2024-05-27,2,206173,8770.0
2024-05-27,3,207989,7300.0
2024-05-27,4,100644,6305.0
2024-05-27,5,106421,6295.0
2024-05-27,6,126094,4700.0
2024-05-27,7,134770,4425.0
2024-05-27,8,128034,3885.0
2024-05-27,9,126774,3700.0
2024-05-27,10,105777,3555.0
2024-05-27,11,200282,3490.0
2024-05-27,12,126203,2980.0
2024-05-27,13,208029,2700.0
2024-05-27,14,126205,2655.0
2024-05-27,15,210097,2500.0
2024-05-27,16,200005,2285.0
2024-05-27,17,122330,2110.0
2024-05-27,18,111575,2090.0
2024-05-27,19,111797,2075.0
2024-05-27,20,202104,1990.0
2024-05-27,21,200000,1885.0
2024-05-27,22,105173,1865.0
2024-05-27,23,208103,1685.0
2024-05-27,24,126214,1645.0
2024-05-27,25,134868,1635.0
2024-05-27,26,126207,1630.0
2024-05-27,27,202103,1590.0
2024-05-27,28,200624,1565.0
2024-05-27,29,144869,1550.0
2024-05-27,30,207518,1370.0
2024-05-27,31,208363,1339.0
2024-05-27,32,200221,1280.0
2024-05-27,33,111815,1230.0
2024-05-27,34,207830,1185.0
2024-05-27,35,208286,1165.0
2024-05-27,36,111442,1156.0
2024-05-27,37,104792,1155.0
2024-05-27,38,209950,1145.0
2024-05-27,39,207733,1131.0
2024-05-27,40,209260,1092.0
2024-05-27,41,105526,1090.0
2024-05-27,42,126128,1087.0
2024-05-27,43,206681,1083.0
2024-05-27,44,111190,1056.0
2024-05-27,45,124116,1038.0
2024-05-27,46,111153,1028.0
2024-05-27,47,132686,1006.0
2024-05-27,48,124079,995.0
2024-05-27,49,132283,991.0
2024-05-27,50,106218,990.0
2024-05-27,51,200615,961.0
2024-05-27,52,111513,960.0
2024-05-27,53,207925,940.0
2024-05-27,54,105916,922.0
2024-05-27,55,207680,908.0
2024-05-27,56,200303,892.0
2024-05-27,57,200175,880.0
2024-05-27,58,205734,855.0
2024-05-27,59,207686,855.0
2024-05-27,60,210506,835.0
2024-05-27,61,105583,831.0
2024-05-27,62,105554,831.0
2024-05-27,63,106148,816.0
2024-05-27,64,144719,810.0
2024-05-27,65,136440,807.0
2024-05-27,66,208659,786.0
2024-05-27,67,200325,783.0
2024-05-27,68,106331,772.0
2024-05-27,69,126239,772.0
2024-05-27,70,106415,766.0
2024-05-27,71,105948,761.0
2024-05-27,72,208134,748.0
2024-05-27,73,106432,744.0
2024-05-27,74,111456,735.0
2024-05-27,75,104918,728.0
2024-05-27,76,210150,728.0
2024-05-27,77,209070,725.0
2024-05-27,78,208014,723.0
2024-05-27,79,144895,720.0
2024-05-27,80,106121,715.0
2024-05-27,81,105138,715.0
2024-05-27,82,106234,705.0
2024-05-27,83,127157,702.0
2024-05-27,84,206909,700.0
2024-05-27,85,105870,697.0
2024-05-27,86,106329,685.0
2024-05-27,87,206499,681.0
2024-05-27,88,200384,673.0
2024-05-27,89,126846,672.0
2024-05-27,90,124186,670.0
2024-05-27,91,106005,669.0
2024-05-27,92,209992,660.0
2024-05-27,93,104926,648.0
2024-05-27,94,126845,647.0
2024-05-27,95,111576,635.0
